name,s,mux,muy,x,y,betx,bety,dx_zeta,dy_zeta
BPV.51708,23.26420000000053,0.09505316325102386,0.07004990800690802,7.283863588632921e-05,1.628299995103944e-22,21.232281213408456,103.2432940466147,1.971521756928017e-06,1.6203093437163122e-33
BPCE.51833,60.73739999999998,0.2360965309731804,0.22112745838610293,-5.385670511404441e-05,5.234069324807673e-23,93.13241900773762,23.377454690321105,9.050877559914515e-05,-6.339834436609265e-34
BPV.51931,91.23559999999998,0.36872236516349144,0.3184761243508699,-0.00010349501977432647,1.9987941190997418e-23,21.679556323274948,100.28195843965347,5.384405077301353e-05,-3.560191737922265e-33
BPMBH.51999,117.0621000000001,0.4662290148953915,0.4066166489466779,-0.00024559811531011847,-3.295553698783971e-23,93.04326004813655,24.046919828643976,7.92488724778126e-05,-2.7721129529058497e-33
BPH.52008,119.25730000000021,0.469799724883991,0.42206773621189175,-0.0002576772662409801,-3.7455433458475056e-23,102.91287314740838,21.32911527229877,8.14086613696893e-05,-6.096132221627337e-29
BPV.52108,151.2550000000001,0.5791252170440007,0.5534771708703601,-8.186498709884358e-05,-1.5936715261859486e-22,21.280730959288512,102.41891336384637,3.4550592156910443e-06,-2.848621872693463e-27
BPH.52208,183.2527,0.7113338922515475,0.6640432432989771,1.6330537198689108e-05,-6.56521422863623e-23,101.76613805265075,20.977663184000555,-8.236403919819632e-05,-1.699134521649176e-27
BPV.52308,215.2503999999999,0.8219117267154041,0.7972711860810615,8.067986404111037e-05,-4.1451361110371606e-23,21.11497535979312,101.98619942640362,-5.374067964648372e-05,-2.651879506560528e-27
BPH.52408,247.2480999999998,0.9538716690223334,0.9071088007261208,0.00025877166993790456,3.122179990435338e-23,102.85691982139701,21.295207513833073,-8.969674484023835e-05,-4.359106433801871e-27
BPV.52508,279.2457999999997,1.0632138870173418,1.0385593420508823,8.96307959776234e-05,1.5544463283058716e-22,21.287325545945748,102.53221692449988,-8.845033994807999e-06,-1.4232111933018347e-26
BPH.52608,311.2435000000005,1.195332666427496,1.1489957393924346,8.881904735788104e-06,6.857777627858853e-23,101.83960732231559,20.99015041715011,7.339726299329068e-05,-1.7084379417125625e-27
BPV.52708,343.2412000000004,1.3058809751019818,1.2823110685323162,-7.207006659945609e-05,5.601031163776769e-23,21.108966426227347,101.8260894404739,5.286923139489821e-05,1.9303714357717013e-26
BPH.52808,375.2389000000003,1.437948706945146,1.3922400043142007,-0.0002585962593770187,-2.4784219964422266e-23,102.75957036018029,21.298861390499063,9.706185744022251e-05,7.896825745767367e-27
BPV.52908,407.2366000000002,1.5472969582860925,1.523549559081392,-9.725114420249681e-05,-1.501425325655682e-22,21.30501777697339,102.6832967309013,1.4154002853889104e-05,4.823725060920295e-27
BPH.53008,439.2343000000001,1.6792634226636713,1.6338509792837423,-3.56066814524029e-05,-7.090421111283243e-23,101.9318635083428,21.00206447782184,-6.364625204422057e-05,-3.854412380532979e-27
BPV.53108,471.23199999999997,1.789797649677562,1.767244846966118,6.191489531473743e-05,-7.015389979537722e-23,21.094337989624997,101.6772876701835,-5.1446327131486716e-05,-1.884934679523653e-26
BPH.53208,503.22969999999987,1.922003297569991,1.8773429355951157,0.0002542848652558397,1.8105050424423923e-23,102.66700853348304,21.275523394109186,-0.00010345969154701979,-8.294083055629724e-27
BPV.53308,535.2273999999998,2.031416144473639,2.008616694220251,0.00010307263153495728,1.4353790927677876e-22,21.30344644604647,102.83866664553508,-1.9305403161485484e-05,-8.2176338915372e-27
BPH.53408,567.2250999999997,2.1633101127794756,2.118736257197403,6.035430505458075e-05,7.261209781045299e-23,102.02619523205139,21.028187423663784,5.3314990811819626e-05,2.1010363405376046e-27
BPV.53508,599.2228000000005,2.273771669219409,2.2521465228089648,-5.195903872333732e-05,8.367876367655899e-23,21.098038661002505,101.532617680421,4.952876342155267e-05,1.654765676049519e-26
BPH.53608,631.2205000000004,2.4060476742292827,2.3624077004959356,-0.0002489459551708173,-1.1257308796127588e-23,102.56840796707446,21.252813341427032,0.00010881512388804772,8.476744037776397e-28
BPV.60108,663.2182000000003,2.5154548855157897,2.4936843590244435,-0.00010869624088844814,-1.3562820798151608e-22,21.325253801462352,102.94618822599017,2.430254422343238e-05,-1.6937437127673392e-26
